video, title, thumbnail, description, hotsted_at, flight_start_time, flight_end_time, labels, metadata:type_1, metadata:type_2,   metadata:type_3, embed_code, id, video_length, video_size, total_plays
http://video-static.clipsyndicate.com/zStorage/syndicaster2/172/2012/09/24/00/56/20120924005656.4743470.mpg,Front entrance to Newtown Acme demolished,http://video-static.clipsyndicate.com/zStorage/syndicaster2/172/2012/09/24/01/09/zdsdlmueewsosowviwhz.jpg?co_id=471,The front entrance to the former Acme store on Sycamore Street comes crashing down during a Demolition Party/.,http://video-static.clipsyndicate.com/zStorage/syndicaster2/172/2012/09/24/00/56/20120924005656.4743470.mpg?co_id=471,2012-09-24T01:09:21Z,1348448118333,/news_playlist,News,Business,Economy,,4329884,18.333,9025536,
http://video-static.clipsyndicate.com/zStorage/syndicaster2/172/2012/09/20/18/40/20120920184023.0970210.mpg,Pennsbury's Carrie Johnston on 2012 Falcon field hockey,http://video-static.clipsyndicate.com/zStorage/syndicaster2/172/2012/09/20/19/20/kqwkykdllssidrbsiaml.jpg?co_id=471,Pennsbury senior Carrie Johnston on the Falcons field hockey team's hopes for 2012.,http://video-static.clipsyndicate.com/zStorage/syndicaster2/172/2012/09/20/18/40/20120920184023.0970210.mpg?co_id=471,2012-09-20T19:22:35Z,1348165757000,/Pennsbury; /CarrieJohnston; /Falconsfieldhockey; /sports_playlist,High School,Hockey,,,4319172,137,71288832,
http://video-static.clipsyndicate.com/zStorage/syndicaster2/172/2012/09/19/19/20/20120919192017.1057930.mpg,Pennsbury's Spencer McCullough on 2012 boys varsity soccer,http://video-static.clipsyndicate.com/zStorage/syndicaster2/172/2012/09/19/19/40/htmybozawguvjssnjlna.jpg?co_id=471,Pennsbury senior goalkeeper Spencer McCullough on 2012 boys varsity soccer,http://video-static.clipsyndicate.com/zStorage/syndicaster2/172/2012/09/19/19/20/20120919192017.1057930.mpg?co_id=471,2012-09-19T19:42:33Z,1348080849000,/Pennsbury; /SpencerMcCullough; /2012boysvarsitysoccer; /sports_playlist,Soccer,High School,,,4314436,129,67168256,
http://video-static.clipsyndicate.com/zStorage/syndicaster2/172/2012/09/16/16/25/20120916162529.7755700.mpg,Quarry Hill Elementary gives $2.500 to Garden of Reflection,http://video-static.clipsyndicate.com/zStorage/syndicaster2/172/2012/09/16/16/36/rbakzflpibowkxpvlfza.jpg?co_id=471,Ellen Saracini accepted a check for $2.500 from the Student Council at Qaurry Hill Elementary School.,http://video-static.clipsyndicate.com/zStorage/syndicaster2/172/2012/09/16/16/25/20120916162529.7755700.mpg?co_id=471,2012-09-16T16:36:55Z,1347812351000,/Quarry; /Garden; /Reflection; /Saracini; /news_playlist,News,Education,K-6,,4301652,131,62787584,
http://video-static.clipsyndicate.com/zStorage/syndicaster2/154/2012/09/14/17/59/20120914175922.4780920.mpg,Bristol's Rose Marie Scalzo on lady Warriors 2012 campaign,http://video-static.clipsyndicate.com/zStorage/syndicaster2/154/2012/09/14/20/01/spqwblzukyowmfmrbxfc.jpg?co_id=471,Bristol's Rose Marie Scalzo on lady Warriors 2012 campaign Sept. 12. 2012 after 5-0 win over Morrisville.,http://video-static.clipsyndicate.com/zStorage/syndicaster2/154/2012/09/14/17/59/20120914175922.4780920.mpg?co_id=471,2012-09-14T20:02:09Z,1347644994000,/Bristol; /fieldhockey; /RoseMarieScalzo; /sports_playlist,Sports,High School,,,4295291,114,59275264,
http://video-static.clipsyndicate.com/zStorage/syndicaster2/154/2012/09/08/03/47/20120908034754.9628370.mpg,CrossFit LBC Gym workouts. Route 13 in Bristol. PA,http://video-static.clipsyndicate.com/zStorage/syndicaster2/154/2012/09/08/03/55/xdkfrijoepkobijqnxpe.jpg?co_id=471,CrossFit LBC Gym workouts. Route 13 in Bristol. PA,http://video-static.clipsyndicate.com/zStorage/syndicaster2/154/2012/09/08/03/47/20120908034754.9628370.mpg?co_id=471,2012-09-08T03:55:25Z,1347075604000,/CrossFitLBCGymnasium; /workout; /Bristol; /PA; /sports_playlist,Fitness,Gymnastics,Weight Lifting,,4269059,124,64430080,
http://video-static.clipsyndicate.com/zStorage/syndicaster2/172/2012/09/08/03/19/20120908031935.7412850.mpg,Pennsbury's Courtney Bennett on Falcons' hopes for 2012,http://video-static.clipsyndicate.com/zStorage/syndicaster2/154/2012/09/08/03/29/offttabxikioulvvprmu.jpg?co_id=471,Pennsbury junior goalkeeper Courtney Bennett on Falcons' hopes for 2012.,http://video-static.clipsyndicate.com/zStorage/syndicaster2/172/2012/09/08/03/19/20120908031935.7412850.mpg?co_id=471,2012-09-08T03:29:23Z,1347074085000,/Pennsbury; /CourtneyBennett; /soccer; /Falcons; /sports_playlist,High School,Soccer,,,4268575,105,54685696,
http://video-static.clipsyndicate.com/zStorage/syndicaster2/172/2012/09/06/14/00/20120906140003.3045780.mpg,Frank Mazzeo and band wow audience at Labor Day concert,http://video-static.clipsyndicate.com/zStorage/syndicaster2/154/2012/09/06/15/04/lyiwvuaxbmxrnwosizxa.jpg?co_id=471,Miserable weather didn't stop a Big Band concert from taking place on Labor Day. An outdoor family event was to be held by the Lower Makefield Township Veterans Square Monument Committee. Instead the concert was held indoors at the Masonic Lodge in the township.,http://video-static.clipsyndicate.com/zStorage/syndicaster2/172/2012/09/06/14/00/20120906140003.3045780.mpg?co_id=471,2012-09-06T15:05:14Z,1346939220000,/Mazzeo; /Labor; /news_playlist,News,Entertainment,Music,,4258574,180,93030400,
http://video-static.clipsyndicate.com/zStorage/syndicaster2/172/2012/09/06/02/08/20120906020829.9957250.mpg,Pennsbury's Sona Hussian on 2012 girls tennis team,http://video-static.clipsyndicate.com/zStorage/syndicaster2/154/2012/09/06/03/29/zyvrqvjkymkapdqymcvi.jpg?co_id=471,Pennsbury junior Sona Hussian on 2012 girls tennis team Sept. 5. 2012 at Lady Falcon tennis courts,http://video-static.clipsyndicate.com/zStorage/syndicaster2/172/2012/09/06/02/08/20120906020829.9957250.mpg?co_id=471,2012-09-06T03:31:40Z,1346897008000,/Pennsbury; /SonaHussian; /tennis; /sports_playlist,High School,Tennis,,,4256444,148,76886016,
http://video-static.clipsyndicate.com/zStorage/syndicaster2/154/2012/09/04/23/08/20120904230804.2291600.mpg,Tim Pinchot: every Pennsbury household should know LYFT,http://video-static.clipsyndicate.com/zStorage/syndicaster2/154/2012/09/05/02/07/oysbydrkozkkvdbbpfph.jpg?co_id=471,The new leader of a local coalition wants LYFT to be known in every Pennsbury houselhold.Tim Pinchot. the new leader of LYFT. explains why.,http://video-static.clipsyndicate.com/zStorage/syndicaster2/154/2012/09/04/23/08/20120904230804.2291600.mpg?co_id=471,2012-09-05T02:10:35Z,1346796288000,/Pennsbury; /Labor; /news_playlist,News,Health,Education,,4249585,168,86849536,
